Customer ID,Duration,Purchase Amount,Representative,Date of Call
INZ038,6,66,IN03,14-Mar-19
INZ164,22,46,IN03,26-Mar-19
INZ137,47,23,IN06,3-May-19
INZ088,130,154,IN04,24-Feb-19
INZ147,60,66,IN03,2-Nov-19
INZ248,41,22,IN04,19-Apr-19
INZ152,118,193,IN05,1-May-19
INZ140,124,106,IN03,2-Aug-19
INZ154,88,31,IN04,2-Jul-19
INZ058,148,194,IN02,13-Jan-19
INZ163,145,49,IN02,4-Dec-19
INZ252,146,150,IN03,27-Jan-19
INZ238,136,131,IN04,20-Dec-19
INZ298,19,199,IN05,4-Jun-19
INZ098,98,129,IN02,20-Dec-19
INZ009,83,178,IN03,27-Aug-19
INZ279,119,3,IN06,7-Jul-19
INZ263,56,102,IN04,19-Oct-19
INZ163,18,25,IN07,15-Nov-19
INZ049,33,70,IN07,30-May-19
INZ244,15,72,IN07,18-Sep-19
INZ083,128,48,IN04,29-May-19
INZ135,22,42,IN05,3-Apr-19
INZ003,70,88,IN06,16-Oct-19
INZ094,80,185,IN03,8-Nov-19
INZ103,84,3,IN04,27-Jan-19
INZ075,129,108,IN07,14-Jan-19
INZ166,43,160,IN02,19-Oct-19
INZ082,84,155,IN05,12-Dec-19
INZ231,1,30,IN04,8-Jan-19
INZ224,25,148,IN06,7-Mar-19
INZ251,36,70,IN03,9-Dec-19
INZ128,66,58,IN01,14-Aug-19
INZ004,20,105,IN02,2-Jun-19
INZ154,78,92,IN03,8-Aug-19
INZ296,41,87,IN06,17-Sep-19
INZ172,139,124,IN06,14-Aug-19
INZ297,109,199,IN05,29-Nov-19
INZ229,127,159,IN04,12-Aug-19
INZ046,134,51,IN04,16-Apr-19
INZ298,40,182,IN03,11-May-19
INZ052,150,70,IN03,16-May-19
INZ148,46,108,IN06,1-Nov-19
INZ047,53,129,IN04,31-Jul-19
INZ142,47,77,IN07,30-Jun-19
INZ130,77,165,IN01,5-Aug-19
INZ175,137,128,IN05,2-Nov-19
INZ289,32,123,IN06,22-Aug-19
INZ298,41,80,IN01,5-Jan-19
INZ277,150,148,IN07,10-May-19
INZ154,150,54,IN07,4-Mar-19
INZ159,9,103,IN05,19-Nov-19
INZ146,48,42,IN04,8-Oct-19
INZ106,97,67,IN03,22-Apr-19
INZ231,47,46,IN01,24-Nov-19
INZ042,3,118,IN04,6-Dec-19
INZ062,37,85,IN02,13-Dec-19
INZ151,3,155,IN07,1-Oct-19
INZ241,50,184,IN05,3-Mar-19
INZ138,87,148,IN02,20-Dec-19
INZ265,130,195,IN04,16-Mar-19
INZ257,3,71,IN01,20-May-19
INZ220,70,88,IN05,1-Dec-19
INZ177,101,123,IN06,14-Oct-19
INZ169,110,182,IN03,6-Aug-19
INZ050,41,119,IN06,12-Jul-19
INZ100,91,139,IN06,22-Jun-19
INZ122,142,124,IN06,29-May-19
INZ197,144,78,IN01,22-Jun-19
INZ248,82,103,IN06,9-Mar-19
INZ263,80,37,IN07,8-Mar-19
INZ206,51,29,IN01,27-Nov-19
INZ086,62,100,IN06,5-Mar-19
INZ123,71,171,IN06,6-Nov-19
INZ280,19,45,IN01,2-Mar-19
INZ117,147,170,IN03,11-Aug-19
INZ178,12,66,IN01,8-Mar-19
INZ242,48,182,IN06,19-May-19
INZ067,136,195,IN02,28-Jan-19
INZ031,64,123,IN01,21-May-19
INZ269,105,124,IN05,31-Oct-19
INZ154,145,159,IN01,9-Dec-19
INZ261,52,21,IN06,3-Mar-19
INZ214,36,133,IN02,26-May-19
INZ230,29,34,IN05,10-Apr-19
INZ186,42,141,IN07,27-Apr-19
INZ251,62,176,IN03,1-Aug-19
INZ118,62,49,IN02,22-May-19
INZ056,98,56,IN01,9-Feb-19
INZ258,54,177,IN01,25-Sep-19
INZ008,141,182,IN07,4-Jul-19
INZ095,11,168,IN02,7-Apr-19
INZ165,113,163,IN06,13-Sep-19
INZ118,18,172,IN06,9-May-19
INZ050,123,84,IN02,22-Mar-19
INZ173,70,66,IN07,14-Mar-19
INZ138,24,163,IN06,23-Jan-19
INZ060,115,35,IN06,18-Oct-19
INZ189,109,176,IN07,13-Apr-19
INZ036,96,54,IN03,18-Feb-19
INZ227,3,111,IN06,10-Feb-19
INZ273,32,183,IN07,29-Sep-19
INZ282,86,114,IN03,5-Nov-19
INZ044,147,84,IN02,9-Nov-19
INZ177,125,112,IN02,3-Nov-19
INZ294,122,171,IN05,31-Jan-19
INZ123,76,124,IN02,11-Sep-19
