Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Year
Government,Canada,Paseo,None,1725,10,350,"6,03,750",0,"6,03,750","4,48,500","1,55,250",Nov-22,2022
Government,Canada,VTT,Low,943.5,250,350,"3,30,225","3,302","3,26,923","2,45,310","81,613",Apr-23,2023
Government,Canada,Carretera,Low,2852,3,350,"9,98,200","19,964","9,78,236","7,41,520","2,36,716",Dec-23,2023
Government,Canada,Paseo,Low,2852,10,350,"9,98,200","19,964","9,78,236","7,41,520","2,36,716",Dec-23,2023
Government,Canada,Amarilla,Low,1778,260,350,"6,22,300","24,892","5,97,408","4,62,280","1,35,128",Dec-22,2022
Government,Canada,Paseo,Medium,1228,10,350,"4,29,800","21,490","4,08,310","3,19,280","89,030",Oct-22,2022
Government,Canada,Amarilla,Medium,552,260,350,"1,93,200","9,660","1,83,540","1,43,520","40,020",Aug-23,2023
Government,Canada,Amarilla,Medium,1228,260,350,"4,29,800","21,490","4,08,310","3,19,280","89,030",Oct-22,2022
Government,Canada,Velo,Medium,1269,120,350,"4,44,150","39,974","4,04,177","3,29,940","74,237",Oct-23,2023
Government,Canada,Amarilla,Medium,1269,260,350,"4,44,150","39,974","4,04,177","3,29,940","74,237",Oct-23,2023
Government,Canada,Amarilla,High,2240,260,350,"7,84,000","78,400","7,05,600","5,82,400","1,23,200",Feb-23,2023
Government,Canada,Amarilla,High,707,260,350,"2,47,450","24,745","2,22,705","1,83,820","38,885",Sep-23,2023
Government,Canada,Paseo,High,2104.5,10,350,"7,36,575","81,023","6,55,552","5,47,170","1,08,382",Jul-23,2023
Government,Canada,VTT,High,623,250,350,"2,18,050","26,166","1,91,884","1,61,980","29,904",Sep-22,2022
Government,Canada,Carretera,High,923,3,350,"3,23,050","41,997","2,81,054","2,39,980","41,074",Mar-23,2023
Government,Canada,Paseo,High,2632,10,350,"9,21,200","1,19,756","8,01,444","6,84,320","1,17,124",Jun-23,2023
Government,Canada,Velo,High,2632,120,350,"9,21,200","1,19,756","8,01,444","6,84,320","1,17,124",Jun-23,2023
Government,Canada,Montana,High,2227.5,5,350,"7,79,625","1,09,148","6,70,478","5,79,150","91,328",Jan-23,2023
Government,Canada,Montana,High,200,5,350,"70,000","9,800","60,200","52,000","8,200",May-23,2023
Government,Canada,Paseo,High,700,10,350,"2,45,000","34,300","2,10,700","1,82,000","28,700",Nov-23,2023
Government,Canada,Carretera,None,1618.5,3,20,"32,370",0,"32,370","16,185","16,185",Jan-23,2023
Government,Canada,Paseo,None,292,10,20,"5,840",0,"5,840","2,920","2,920",Feb-23,2023
Government,Canada,Paseo,None,1817,10,20,"36,340",0,"36,340","18,170","18,170",Dec-23,2023
Government,Canada,VTT,None,1817,250,20,"36,340",0,"36,340","18,170","18,170",Dec-23,2023
Government,Canada,Carretera,Low,831,3,20,"16,620",499,"16,121","8,310","7,811",May-23,2023
Government,Canada,Velo,Low,3850.5,120,20,"77,010","2,310","74,700","38,505","36,195",Apr-23,2023
Government,Canada,Paseo,Low,2074,10,20,"41,480","1,659","39,821","20,740","19,081",Sep-23,2023
Government,Canada,Velo,Low,2646,120,20,"52,920","2,117","50,803","26,460","24,343",Sep-22,2022
Government,Canada,Paseo,Medium,1389,10,20,"27,780","1,389","26,391","13,890","12,501",Oct-22,2022
Government,Canada,Paseo,Medium,1802,10,20,"36,040","1,802","34,238","18,020","16,218",Dec-22,2022
Government,Canada,VTT,Medium,1389,250,20,"27,780","1,389","26,391","13,890","12,501",Oct-22,2022
Government,Canada,Amarilla,Medium,1118,260,20,"22,360","1,565","20,795","11,180","9,615",Nov-23,2023
